Ano	Estacao	Modelo	C0	Patamar	Alcance	SQR	GDE
2009	wet	Gau	5	45	17.3205080756888	213.67114847138	10
2010	wet	Sph	5.20010989701034	29.3010571985045	6.63445458756551	5378.5098474093	15.0722724324487
2011	wet	Gau	5	25	17.3205080756888	177.426606804775	16.6666666666667
2012	wet	Sph	4.86775300767364	11.6638961575294	5.07693958699548	97.0982377891414	29.4450539025448
2013	wet	Gau	10	30	17.3205080756888	261.658170146819	25
2014	wet	Gau	5.21062263406266	9.87776961108926	6.12526519713081	34.7950739617303	34.5339818146423
2015	wet	EPP	3.34736008318847	3.34736008318847	0	89.8338626771417	0
2016	wet	Gau	9.55136688674347	23.6824755473294	25.7367429262574	225.202651056197	28.7398813594632
2017	wet	Sph	3.73584418582726	7.71953807453018	13.5055706863014	32.3243724304251	32.6121302713358
2018	wet	EPP	5.55738277246664	5.55738277246664	0	944.915089415498	0
2019	wet	Gau	6.65471159683074	8.5031809684095	12.0381653394892	82.4778313159529	43.9026175188178
2020	wet	Sph	0	84.7427238754757	13.4805294443302	500.35491040586	0
2009	dry	Gau	7.6254679320077	14.6879389278685	12.9933545657674	41.5062582050604	34.1743776730023
2010	dry	Gau	8.22122101441373	15.3362201351531	12.8223476735855	579.313908082551	34.8986163744058
2011	dry	Gau	11.5657586956225	16.5666047842137	12.7500166454253	508.49617170602	41.11193396144
2012	dry	Gau	11.4364857889646	18.5529698434591	15.4470438484292	369.651539173252	38.1350229532003
2013	dry	Sph	8.69177414428578	13.2940836429189	15.3840014532331	409.856787445524	39.5334775127319
2014	dry	Sph	6.06912521418676	9.27336229244992	10.7796664060683	148.577392527597	39.5576350416544
2015	dry	Sph	6.17224191591646	11.1620489607143	13.5285398305015	367.431369376876	35.6071209364415
2016	dry	Gau	7.71202683856829	13.3715343622411	13.8054138167377	223.882759496467	36.5783880868866
2017	dry	Gau	9	15	20.7846096908265	684.257750271326	37.5
2018	dry	Sph	7.7333506435456	14.3605603874763	20.6884527678894	1755.05012798894	35.0021806129629
2019	dry	Sph	8	15	16	1899.23340527317	34.7826086956522
2020	dry	Sph	5.66172030634722	8.612059168806	2.33409094885727	87.4987877646251	39.6651798929831
